0  pc3_1  null      
1  pc3_1  recive  1   
2  pc3_1  recive  1   
3  pc3_1  recive  1   
4  pc3_1  recive  1   
5  pc3_1  recive  1   
6  pc3_1  recive  1   
7  pc3_1  recive  1   
8  pc3_1  recive  1   
9  pc3_1  recive  1   
10  pc3_1  recive  1   
11  pc3_1  recive  1   
12  pc3_1  recive  1   
13  pc3_1  recive  1   
14  pc3_1  recive  0   
15  pc3_1  recive  0   
16  pc3_1  recive  0   
17  pc3_1  recive  0   
18  pc3_1  recive  0   
19  pc3_1  recive  0   
20  pc3_1  recive  0   
21  pc3_1  recive  0   
22  pc3_1  recive  0   
23  pc3_1  recive  0   
24  pc3_1  recive  1   
25  pc3_1  recive  1   
26  pc3_1  recive  1   
27  pc3_1  recive  1   
28  pc3_1  recive  1   
29  pc3_1  recive  1   
30  pc3_1  recive  1   
31  pc3_1  recive  1   
32  pc3_1  recive  1   
33  pc3_1  recive  1   
34  pc3_1  recive  1   
35  pc3_1  recive  1   
36  pc3_1  recive  1   
37  pc3_1  recive  1   
38  pc3_1  recive  1   
39  pc3_1  recive  1   
40  pc3_1  recive  1   
41  pc3_1  recive  1   
42  pc3_1  recive  1   
43  pc3_1  recive  1   
44  pc3_1  recive  0   
45  pc3_1  recive  0   
46  pc3_1  recive  0   
47  pc3_1  recive  0   
48  pc3_1  recive  0   
49  pc3_1  recive  0   
50  pc3_1  recive  0   
51  pc3_1  recive  0   
52  pc3_1  recive  0   
53  pc3_1  recive  0   
54  pc3_1  recive  1   
55  pc3_1  recive  1   
56  pc3_1  recive  1   
57  pc3_1  recive  1   
58  pc3_1  recive  1   
59  pc3_1  recive  1   
60  pc3_1  recive  1   
61  pc3_1  recive  1   
62  pc3_1  recive  1   
63  pc3_1  recive  1   
64  pc3_1  recive  0   
65  pc3_1  recive  0   
66  pc3_1  recive  0   
67  pc3_1  recive  0   
68  pc3_1  recive  0   
69  pc3_1  recive  0   
70  pc3_1  recive  0   
71  pc3_1  recive  0   
72  pc3_1  recive  0   
73  pc3_1  recive  0   
74  pc3_1  recive  1   
75  pc3_1  recive  1   
76  pc3_1  recive  1   
77  pc3_1  recive  1   
78  pc3_1  recive  1   
79  pc3_1  recive  1   
80  pc3_1  recive  1   
81  pc3_1  recive  1   
82  pc3_1  recive  1   
83  pc3_1  recive  1   
